IE_XML_ID;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг);Цвет (фильтр)
500123064;Лето;221104;Серебряные женские туфли;натуральная кожа;натуральная кожа;98000;натуральная кожа;натуральная кожа;серебряный;серебряный
500123066;Лето;221104;Черные туфли на каблуке;натуральная кожа;натуральная кожа;98000;натуральная кожа;натуральная кожа;черный;черный
500123067;Лето;221104;Летние женские туфли;натуральная кожа;натуральная кожа;98001;натуральная кожа;натуральная кожа;синий / белый;синий
500123068;Лето;221104;Женские кожаные туфли;натуральная кожа;натуральная кожа;98001;натуральная кожа;натуральная кожа;светло-розовый / серый;розовый
500123069;Всесезонная;221104;Бежевые туфли на шпильке;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;бежевый;бежевый
500123821;Всесезонная;221104;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;черный;черный
500123071;Всесезонная;221104;Туфли на шпильке;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;розовый;розовый
500123588;Всесезонная;221104;Фиолетовые женские туфли;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;фиолетовый;фиолетовый
500123072;Всесезонная;221105;Женские замшевые кроссовки;замша / кожа;замша;98003;натуральная кожа;натуральная кожа;темно-синий;синий
500123073;Всесезонная;221105;Женские кожаные кроссовки;натуральная кожа;натуральная кожа;98003;натуральная кожа;натуральная кожа;белый / серебрянный;серый
500123075;Всесезонная;221105;Бежевые женские кроссовки;замша;замша;98004;натуральная кожа;натуральная кожа;бежевый;бежевый
500123076;Всесезонная;221105;Женские кожаные кроссовки;натуральная кожа;натуральная кожа;98004;натуральная кожа;натуральная кожа;светло-золотой;желтый
500123078;Всесезонная;221105;Женские замшевые кроссовки;замша;замша;98004;натуральная кожа;натуральная кожа;светло-голубой;голубой
500123079;Всесезонная;221105;Женские кожаные кроссовки;натуральная кожа;натуральная кожа;98005;натуральная кожа;натуральная кожа;белый / серый / розовый;розовый
500123080;Всесезонная;221105;Женские кожаные кроссовки;замша / кожа;замша;98006;текстиль;текстиль;темно-бежевый;бежевый
500123083;Всесезонная;221106;Бежевые туфли на каблуке;натуральная кожа;натуральная кожа;98007;натуральная кожа;натуральная кожа;бежевый;бежевый
500123084;Всесезонная;221106;Красные женские туфли;натуральная кожа;натуральная кожа;98007;натуральная кожа;натуральная кожа;красный;красный
500123085;Всесезонная;221106;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98007;натуральная кожа;натуральная кожа;черный;черный
500123092;Лето;221107;Женские летние туфли;замша;замша;98008;натуральная кожа;натуральная кожа;светло-розовый;розовый
500123093;Лето;221107;Женские туфли на каблуке;замша;замша;98008;натуральная кожа;натуральная кожа;черный;черный
500123095;Всесезонная;221107;Бежевые туфли на шпильке;лакированная кожа;лаковая кожа;98009;натуральная кожа;натуральная кожа;бежевый;бежевый
500123096;Всесезонная;221107;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98009;натуральная кожа;натуральная кожа;черный;черный
500123098;Всесезонная;221107;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98010;натуральная кожа;натуральная кожа;черный;черный
500123822;Всесезонная;221107;Красные лаковые туфли;лакированная кожа;лаковая кожа;98010;натуральная кожа;натуральная кожа;красный;красный
500124532;Всесезонная;221107;Замшевые женские туфли;замша;замша;98011;натуральная кожа;натуральная кожа;черный;черный
500124533;Всесезонная;221107;Красные женские туфли;замша;замша;98011;натуральная кожа;натуральная кожа;красный;красный
500123113;Лето;221109;Босоножки на шпильке;замша;замша;98012;натуральная кожа;натуральная кожа;черный;черный
500123114;Лето;221109;Женские летние босоножки;замша;замша;98012;натуральная кожа;натуральная кожа;светло-розовый;розовый
500123117;Лето;221109;Розовые туфли на шпильке;лакированная кожа;лаковая кожа;98013;натуральная кожа;натуральная кожа;розовый;розовый
500123120;Лето;221109;Голубые женские туфли;натуральная кожа;натуральная кожа;98014;натуральная кожа;натуральная кожа;голубой;голубой
500123121;Лето;221109;Туфли на шпильке;натуральная кожа;натуральная кожа;98014;натуральная кожа;натуральная кожа;розовый;розовый
500123122;Лето;221109;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98014;натуральная кожа;натуральная кожа;черный;черный
500123123;Лето;221109;Бежевые туфли на шпильке;лакированная кожа;лаковая кожа;98014;натуральная кожа;натуральная кожа;бежевый;бежевый
500123127;Всесезонная;221110;Женские кожаные полуботинки;натуральная кожа;натуральная кожа;98015;натуральная кожа;натуральная кожа;светло-серый;серый
500123128;Всесезонная;221110;Женские кожаные полуботинки;натуральная кожа;натуральная кожа;98015;натуральная кожа;натуральная кожа;светло-бежевый;бежевый
500123131;Всесезонная;221110;Розовые женские полуботинки;натуральная кожа;натуральная кожа;98016;натуральная кожа;натуральная кожа;розовый;розовый
500123132;Всесезонная;221110;Женские кожаные полуботинки;натуральная кожа;натуральная кожа;98016;натуральная кожа;натуральная кожа;светло-голубой;голубой
500123133;Всесезонная;221110;Черные женские полуботинки;натуральная кожа;натуральная кожа;98016;натуральная кожа;натуральная кожа;черный;черный
500123137;Всесезонная;221111;Женские туфли;натуральная кожа;натуральная кожа;98017;натуральная кожа;натуральная кожа;фуксия;фуксия
500123138;Всесезонная;221111;Черные женские туфли;натуральная кожа;натуральная кожа;98017;натуральная кожа;натуральная кожа;черный;черный
