IE_XML_ID;Цвет;дет_описание;пол;тг;блок;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг)
500123064;серебряный;;Женский;Туфли;Обувь;Лето;221104;Серебряные женские туфли;натуральная кожа;натуральная кожа;98000;натуральная кожа;натуральная кожа;серебряный
500123066;черный;;Женский;Туфли;Обувь;Лето;221104;Черные туфли на каблуке;натуральная кожа;натуральная кожа;98000;натуральная кожа;натуральная кожа;черный
500123067;синий;;Женский;Туфли;Обувь;Лето;221104;Летние женские туфли;натуральная кожа;натуральная кожа;98001;натуральная кожа;натуральная кожа;синий / белый
500123068;розовый;;Женский;Туфли;Обувь;Лето;221104;Женские кожаные туфли;натуральная кожа;натуральная кожа;98001;натуральная кожа;натуральная кожа;светло-розовый / серый
500123069;бежевый;;Женский;Туфли;Обувь;Всесезонная;221104;Бежевые туфли на шпильке;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;бежевый
500123821;черный;;Женский;Туфли;Обувь;Всесезонная;221104;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;черный
500123071;розовый;;Женский;Туфли;Обувь;Всесезонная;221104;Туфли на шпильке;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;розовый
500123588;фиолетовый;;Женский;Туфли;Обувь;Всесезонная;221104;Фиолетовые женские туфли;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;фиолетовый
500123072;синий;;Женский;Кроссовки;Обувь;Всесезонная;221105;Женские замшевые кроссовки;замша / кожа;замша;98003;натуральная кожа;натуральная кожа;темно-синий
500123073;серый;;Женский;Кроссовки;Обувь;Всесезонная;221105;Женские кожаные кроссовки;натуральная кожа;натуральная кожа;98003;натуральная кожа;натуральная кожа;белый / серебрянный
500123075;бежевый;;Женский;Кроссовки;Обувь;Всесезонная;221105;Бежевые женские кроссовки;замша;замша;98004;натуральная кожа;натуральная кожа;бежевый
500123076;желтый;;Женский;Кроссовки;Обувь;Всесезонная;221105;Женские кожаные кроссовки;натуральная кожа;натуральная кожа;98004;натуральная кожа;натуральная кожа;светло-золотой
500123078;голубой;;Женский;Кроссовки;Обувь;Всесезонная;221105;Женские замшевые кроссовки;замша;замша;98004;натуральная кожа;натуральная кожа;светло-голубой
500123079;розовый;;Женский;Кроссовки;Обувь;Всесезонная;221105;Женские кожаные кроссовки;натуральная кожа;натуральная кожа;98005;натуральная кожа;натуральная кожа;белый / серый / розовый
500123080;бежевый;;Женский;Кроссовки;Обувь;Всесезонная;221105;Женские кожаные кроссовки;замша / кожа;замша;98006;текстиль;текстиль;темно-бежевый
